item;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Peaches and nectarines;650000.0;660000.0;33827622.0;39909130.0;37618541.0;35137578.0;28953172.0;27997731.0;29464801.0;29498810.0;26922502.0;160000.0;178000.0;168600.0;89300.0;183000.0;135000.0;138000.0;55605.0;72570.0;71615.0;69251.0;72000.0;68800.0;33400.0;29300.0;36500.0;38300.0;72800.0;2793784.2
Pears;3750.0;3400.0;685000.0;700000.0;725000.0;750000.0;800000.0;816013.0;849527.0;851286.0;759780.0;29358474.0;27876247.0;28136991.0;28259734.0;27195248.0;28846360.0;31133958.0;120000.0;137000.0;130000.0;142000.0;1502845.2;1715742.6;60700.0;53300.0;66300.0;69600.0;2740075.4;197700.0
Peas, dry;164470.0;96530.0;2400.0;3000.0;4000.0;4000.0;4300.0;4000.0;5000.0;5000.0;4630.0;846015.0;863669.0;844799.0;856860.0;1029720.0;953840.0;1123357.3;21140539.0;32681467.0;29532530.0;30199126.0;98416.1;102859.5;2198241.0;3285500.0;2304432.0;2369478.6;116115.7;1076411.5
Peas, green;16928.0;16185.0;122290.0;123420.0;134535.0;103747.0;124727.0;135132.0;148746.0;113201.0;115333.0;5250.0;7310.0;6200.0;5600.0;8200.0;4000.0;5000.0;988584.8;1175887.4;1080845.0;1128205.0;140000.0;135700.0;104956.0;121768.0;79892.0;86586.0;182000.0;1721912.0
Plums and sloes;70900.0;81400.0;11910.0;13227.0;8093.0;12000.0;12000.0;27000.0;45000.0;43700.0;36500.0;191888.0;276842.0;304238.0;522093.0;630325.0;752200.0;666841.0;3200.0;4000.0;4700.0;5000.0;31501353.6;33645799.4;151700.0;133200.0;165800.0;174000.0;19607361.0;151384.8
Potatoes;2538000.0;2714000.0;82800.0;85000.0;90000.0;94000.0;95000.0;120000.0;130000.0;140000.0;165000.0;22673.0;45356.0;47417.0;67668.0;101756.0;147937.0;144546.0;670082.0;956378.0;945132.0;1259184.7;1232162.3;1370160.6;22463487.0;21707645.0;22394960.0;22074873.5;1143127.0;115405.5
Pumpkins, squash and gourds;753630.0;687523.0;1799000.0;2237000.0;1870000.0;1336570.0;1383000.0;1715000.0;1667000.0;1737000.0;1755000.0;150000.0;170000.0;175000.0;175000.0;175000.0;137000.0;140000.0;181441.0;170972.0;200521.0;244615.0;5400.0;4800.0;1196511.0;1165150.0;1191537.5;1195049.0;7300.0;276800.0
Quinces;13887220.0;9166040.0;523232.0;461920.0;388976.0;328072.0;412166.0;443394.0;584312.0;495536.0;488133.0;2093000.0;2436000.0;2718000.0;3187606.0;3230026.0;3481373.0;3289276.0;125000.0;140000.0;133000.0;143000.0;1337939.5;1012206.0;6100.0;5300.0;6600.0;7000.0;2572492.4;4759908.3
Rape or colza seed;7000.0;6000.0;5988800.0;4098220.0;5927891.0;7476184.0;3265923.0;4781032.0;5444421.0;6631528.0;7121713.0;448116.0;469802.0;570816.0;680610.0;704544.0;738300.0;912969.0;2781748.0;4753113.0;5322372.0;4958594.0;358296.0;378175.0;1000827.0;1510324.0;1988697.0;2060320.1;627119.13;237200.0
Rapeseed or canola oil, crude;1904.0;1700.0;4228.78;3620.24;5000.0;6000.0;4010.0;180.0;1770.0;390.0;110.0;4146815.0;2864180.0;3622434.0;2959347.0;3909392.0;4505060.0;4333138.0;1060658.0;1055574.0;1051891.0;934943.0;144000.0;137800.0;311115.59;371223.62;506377.87;563574.0;182000.0;41201668.6
